grid_number,endpoints,throughput,folder
394,354,3.301,run_agents200_endpoints354_grid00394
395,361,5.902,run_agents200_endpoints361_grid00395
396,356,0.488,run_agents200_endpoints356_grid00396
397,349,5.667,run_agents200_endpoints349_grid00397
398,357,5.735,run_agents200_endpoints357_grid00398
399,364,5.676,run_agents200_endpoints364_grid00399
400,356,5.932,run_agents200_endpoints356_grid00400
401,364,5.271,run_agents200_endpoints364_grid00401
403,360,5.551,run_agents200_endpoints360_grid00403
404,362,5.74,run_agents200_endpoints362_grid00404
405,361,0.427,run_agents200_endpoints361_grid00405
406,361,5.765,run_agents200_endpoints361_grid00406
407,346,5.616,run_agents200_endpoints346_grid00407
408,360,5.9,run_agents200_endpoints360_grid00408
409,349,5.649,run_agents200_endpoints349_grid00409
410,350,5.736,run_agents200_endpoints350_grid00410
411,352,5.52,run_agents200_endpoints352_grid00411
412,361,5.825,run_agents200_endpoints361_grid00412
413,350,5.659,run_agents200_endpoints350_grid00413
414,369,6.039,run_agents200_endpoints369_grid00414
415,363,2.537,run_agents200_endpoints363_grid00415
416,362,1.601,run_agents200_endpoints362_grid00416
417,352,0.42,run_agents200_endpoints352_grid00417
418,351,5.833,run_agents200_endpoints351_grid00418
419,349,2.739,run_agents200_endpoints349_grid00419
420,355,5.529,run_agents200_endpoints355_grid00420
421,352,5.749,run_agents200_endpoints352_grid00421
422,352,4.137,run_agents200_endpoints352_grid00422
423,361,5.622,run_agents200_endpoints361_grid00423
424,362,5.875,run_agents200_endpoints362_grid00424
425,359,5.857,run_agents200_endpoints359_grid00425
426,355,5.922,run_agents200_endpoints355_grid00426
427,358,5.559,run_agents200_endpoints358_grid00427
428,349,5.816,run_agents200_endpoints349_grid00428
429,360,0.791,run_agents200_endpoints360_grid00429
430,358,5.565,run_agents200_endpoints358_grid00430
431,357,3.89,run_agents200_endpoints357_grid00431
432,357,1.172,run_agents200_endpoints357_grid00432
433,351,5.606,run_agents200_endpoints351_grid00433
434,359,5.87,run_agents200_endpoints359_grid00434
435,355,6.0,run_agents200_endpoints355_grid00435
436,353,0.206,run_agents200_endpoints353_grid00436
437,365,5.926,run_agents200_endpoints365_grid00437
438,367,5.585,run_agents200_endpoints367_grid00438
439,348,5.887,run_agents200_endpoints348_grid00439
440,362,5.681,run_agents200_endpoints362_grid00440
441,350,5.816,run_agents200_endpoints350_grid00441
442,361,5.96,run_agents200_endpoints361_grid00442
443,351,2.269,run_agents200_endpoints351_grid00443
444,364,5.881,run_agents200_endpoints364_grid00444
445,359,5.543,run_agents200_endpoints359_grid00445
446,352,5.981,run_agents200_endpoints352_grid00446
448,379,5.821,run_agents200_endpoints379_grid00448
449,360,5.905,run_agents200_endpoints360_grid00449
450,358,5.579,run_agents200_endpoints358_grid00450
451,366,5.635,run_agents200_endpoints366_grid00451
452,374,5.506,run_agents200_endpoints374_grid00452
453,360,0.757,run_agents200_endpoints360_grid00453
454,367,5.881,run_agents200_endpoints367_grid00454
455,359,5.897,run_agents200_endpoints359_grid00455
456,367,5.852,run_agents200_endpoints367_grid00456
457,349,5.516,run_agents200_endpoints349_grid00457
458,353,5.519,run_agents200_endpoints353_grid00458
460,370,5.648,run_agents200_endpoints370_grid00460
461,359,5.719,run_agents200_endpoints359_grid00461
462,353,5.871,run_agents200_endpoints353_grid00462
463,359,5.98,run_agents200_endpoints359_grid00463
464,362,4.378,run_agents200_endpoints362_grid00464
465,355,5.709,run_agents200_endpoints355_grid00465
466,362,5.647,run_agents200_endpoints362_grid00466
468,366,5.926,run_agents200_endpoints366_grid00468
469,352,1.24,run_agents200_endpoints352_grid00469
470,380,5.831,run_agents200_endpoints380_grid00470
471,362,1.941,run_agents200_endpoints362_grid00471
472,363,5.639,run_agents200_endpoints363_grid00472
473,351,5.655,run_agents200_endpoints351_grid00473
474,347,5.522,run_agents200_endpoints347_grid00474
475,366,5.535,run_agents200_endpoints366_grid00475
476,366,5.748,run_agents200_endpoints366_grid00476
477,365,5.707,run_agents200_endpoints365_grid00477
478,355,1.339,run_agents200_endpoints355_grid00478
479,351,5.949,run_agents200_endpoints351_grid00479
480,348,1.206,run_agents200_endpoints348_grid00480
481,359,5.806,run_agents200_endpoints359_grid00481
482,363,5.912,run_agents200_endpoints363_grid00482
483,355,1.112,run_agents200_endpoints355_grid00483
484,369,5.622,run_agents200_endpoints369_grid00484
485,357,1.002,run_agents200_endpoints357_grid00485
486,359,5.427,run_agents200_endpoints359_grid00486
487,363,5.803,run_agents200_endpoints363_grid00487
488,369,1.134,run_agents200_endpoints369_grid00488
489,339,0.325,run_agents200_endpoints339_grid00489
490,355,5.856,run_agents200_endpoints355_grid00490
491,364,5.995,run_agents200_endpoints364_grid00491
492,370,5.94,run_agents200_endpoints370_grid00492
493,352,5.965,run_agents200_endpoints352_grid00493
494,369,5.96,run_agents200_endpoints369_grid00494
495,347,1.032,run_agents200_endpoints347_grid00495
496,367,5.956,run_agents200_endpoints367_grid00496
497,365,0.867,run_agents200_endpoints365_grid00497
498,359,5.96,run_agents200_endpoints359_grid00498
499,353,1.214,run_agents200_endpoints353_grid00499
500,374,5.734,run_agents200_endpoints374_grid00500
501,357,5.659,run_agents200_endpoints357_grid00501
502,361,5.691,run_agents200_endpoints361_grid00502
503,353,5.779,run_agents200_endpoints353_grid00503
504,352,4.842,run_agents200_endpoints352_grid00504
505,358,2.095,run_agents200_endpoints358_grid00505
506,365,1.71,run_agents200_endpoints365_grid00506
507,360,5.743,run_agents200_endpoints360_grid00507
508,351,4.932,run_agents200_endpoints351_grid00508
509,376,5.622,run_agents200_endpoints376_grid00509
510,356,5.965,run_agents200_endpoints356_grid00510
511,369,5.749,run_agents200_endpoints369_grid00511
512,362,1.391,run_agents200_endpoints362_grid00512
513,362,5.795,run_agents200_endpoints362_grid00513
514,349,2.139,run_agents200_endpoints349_grid00514
515,347,5.542,run_agents200_endpoints347_grid00515
516,371,1.243,run_agents200_endpoints371_grid00516
517,356,5.688,run_agents200_endpoints356_grid00517
518,360,5.773,run_agents200_endpoints360_grid00518
519,362,5.673,run_agents200_endpoints362_grid00519
520,357,5.925,run_agents200_endpoints357_grid00520
521,363,6.032,run_agents200_endpoints363_grid00521
522,351,3.692,run_agents200_endpoints351_grid00522
523,355,5.678,run_agents200_endpoints355_grid00523
524,370,3.043,run_agents200_endpoints370_grid00524
525,366,0.768,run_agents200_endpoints366_grid00525
526,360,3.132,run_agents200_endpoints360_grid00526
527,354,5.956,run_agents200_endpoints354_grid00527
528,351,1.109,run_agents200_endpoints351_grid00528
529,345,0.543,run_agents200_endpoints345_grid00529
530,360,5.879,run_agents200_endpoints360_grid00530
531,362,5.925,run_agents200_endpoints362_grid00531
532,372,5.824,run_agents200_endpoints372_grid00532
533,369,6.03,run_agents200_endpoints369_grid00533
534,350,1.659,run_agents200_endpoints350_grid00534
535,354,5.836,run_agents200_endpoints354_grid00535
536,350,5.797,run_agents200_endpoints350_grid00536
537,364,6.082,run_agents200_endpoints364_grid00537
538,355,0.462,run_agents200_endpoints355_grid00538
539,364,6.056,run_agents200_endpoints364_grid00539
540,372,1.134,run_agents200_endpoints372_grid00540
541,357,5.723,run_agents200_endpoints357_grid00541
542,359,5.515,run_agents200_endpoints359_grid00542
543,353,5.826,run_agents200_endpoints353_grid00543
544,362,5.599,run_agents200_endpoints362_grid00544
545,370,5.954,run_agents200_endpoints370_grid00545
546,352,5.69,run_agents200_endpoints352_grid00546
547,363,5.746,run_agents200_endpoints363_grid00547
548,351,2.423,run_agents200_endpoints351_grid00548
549,363,1.827,run_agents200_endpoints363_grid00549
550,358,0.953,run_agents200_endpoints358_grid00550
551,369,5.782,run_agents200_endpoints369_grid00551
552,360,5.889,run_agents200_endpoints360_grid00552
553,355,5.845,run_agents200_endpoints355_grid00553
554,359,5.952,run_agents200_endpoints359_grid00554
555,373,5.91,run_agents200_endpoints373_grid00555
556,368,5.837,run_agents200_endpoints368_grid00556
557,360,5.569,run_agents200_endpoints360_grid00557
558,366,5.905,run_agents200_endpoints366_grid00558
559,360,5.847,run_agents200_endpoints360_grid00559
560,353,5.698,run_agents200_endpoints353_grid00560
561,354,0.278,run_agents200_endpoints354_grid00561
562,351,5.729,run_agents200_endpoints351_grid00562
563,358,5.768,run_agents200_endpoints358_grid00563
564,353,0.332,run_agents200_endpoints353_grid00564
565,351,0.383,run_agents200_endpoints351_grid00565
566,370,6.14,run_agents200_endpoints370_grid00566
567,366,5.419,run_agents200_endpoints366_grid00567
568,370,5.749,run_agents200_endpoints370_grid00568
569,363,5.828,run_agents200_endpoints363_grid00569
570,375,5.849,run_agents200_endpoints375_grid00570
571,355,1.674,run_agents200_endpoints355_grid00571
572,351,3.433,run_agents200_endpoints351_grid00572
573,359,5.726,run_agents200_endpoints359_grid00573
574,361,5.497,run_agents200_endpoints361_grid00574
575,353,5.561,run_agents200_endpoints353_grid00575
576,358,5.927,run_agents200_endpoints358_grid00576
577,361,5.721,run_agents200_endpoints361_grid00577
